executable,returncode,n,threads,schedule,block_size,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,16,1,1,16.518517,190.628960
blas_like_openmp,0,15000,16,1,2,16.465330,186.607369
blas_like_openmp,0,15000,16,1,4,17.651951,127.604236
blas_like_openmp,0,15000,16,1,8,42.760160,144.613536
blas_like_openmp,0,15000,16,1,16,65.245817,123.426382
blas_like_openmp,0,15000,16,1,32,120.475542,123.412637
blas_like_openmp,0,15000,16,1,64,123.522049,126.453571
blas_like_openmp,0,15000,16,2,1,15.658634,217.906290
blas_like_openmp,0,15000,16,2,2,16.546225,187.352904
blas_like_openmp,0,15000,16,2,4,17.453419,128.785305
blas_like_openmp,0,15000,16,2,8,33.178786,123.941053
blas_like_openmp,0,15000,16,2,16,65.578481,125.157267
blas_like_openmp,0,15000,16,2,32,123.152184,126.181574
blas_like_openmp,0,15000,16,2,64,121.207677,124.143890
blas_like_openmp,0,15000,16,3,1,15.349285,219.910983
blas_like_openmp,0,15000,16,3,2,16.795844,193.946452
blas_like_openmp,0,15000,16,3,4,17.762493,128.444333
blas_like_openmp,0,15000,16,3,8,34.027071,125.012638
blas_like_openmp,0,15000,16,3,16,65.441732,122.743189
blas_like_openmp,0,15000,16,3,32,119.490908,122.516041
blas_like_openmp,0,15000,16,3,64,119.808015,122.818444
blas_like_openmp,0,15000,16,1,1,16.899555,196.216294
blas_like_openmp,0,15000,16,1,2,16.827807,191.424046
blas_like_openmp,0,15000,16,1,4,17.461191,127.785397
blas_like_openmp,0,15000,16,1,8,33.618416,124.433753
blas_like_openmp,0,15000,16,1,16,64.798896,122.882613
blas_like_openmp,0,15000,16,1,32,124.037991,126.971483
blas_like_openmp,0,15000,16,1,64,123.280009,126.318529
blas_like_openmp,0,15000,16,2,1,15.724119,221.965591
blas_like_openmp,0,15000,16,2,2,16.583500,188.908261
blas_like_openmp,0,15000,16,2,4,17.370966,127.284315
blas_like_openmp,0,15000,16,2,8,33.538166,124.541353
blas_like_openmp,0,15000,16,2,16,65.433330,123.417851
blas_like_openmp,0,15000,16,2,32,118.882975,121.808645
blas_like_openmp,0,15000,16,2,64,119.977755,122.997763
blas_like_openmp,0,15000,16,3,1,17.153890,225.182864
blas_like_openmp,0,15000,16,3,2,16.076953,192.235250
blas_like_openmp,0,15000,16,3,4,17.003146,126.243578
blas_like_openmp,0,15000,16,3,8,33.324590,125.397661
blas_like_openmp,0,15000,16,3,16,65.421300,123.218714
blas_like_openmp,0,15000,16,3,32,119.432691,122.458195
blas_like_openmp,0,15000,16,3,64,119.448760,122.478352
blas_like_openmp,0,15000,16,1,1,16.850914,192.813300
blas_like_openmp,0,15000,16,1,2,17.064874,193.068206
blas_like_openmp,0,15000,16,1,4,17.203395,126.705923
blas_like_openmp,0,15000,16,1,8,33.764374,124.186948
blas_like_openmp,0,15000,16,1,16,64.870359,123.285412
blas_like_openmp,0,15000,16,1,32,126.465924,129.402791
blas_like_openmp,0,15000,16,1,64,120.609775,123.636904
blas_like_openmp,0,15000,16,2,1,15.097199,218.802213
blas_like_openmp,0,15000,16,2,2,16.571364,195.047133
blas_like_openmp,0,15000,16,2,4,17.617990,129.818610
blas_like_openmp,0,15000,16,2,8,33.495074,123.659012
blas_like_openmp,0,15000,16,2,16,65.224275,122.908736
blas_like_openmp,0,15000,16,2,32,120.105275,123.041496
blas_like_openmp,0,15000,16,2,64,120.571382,123.605589
blas_like_openmp,0,15000,16,3,1,16.561046,217.397146
blas_like_openmp,0,15000,16,3,2,16.530564,188.522907
blas_like_openmp,0,15000,16,3,4,17.018382,126.223890
blas_like_openmp,0,15000,16,3,8,34.292442,126.190756
blas_like_openmp,0,15000,16,3,16,65.629259,123.933551
blas_like_openmp,0,15000,16,3,32,120.072683,123.102281
blas_like_openmp,0,15000,16,3,64,120.471263,123.501703
las_like_openmp,0,15000,16,1,1,16.684826,198.607912
blas_like_openmp,0,15000,16,1,2,16.722833,193.950420
blas_like_openmp,0,15000,16,1,4,20.509064,139.694953
blas_like_openmp,0,15000,16,1,8,33.192478,124.053410
blas_like_openmp,0,15000,16,1,16,65.392577,123.630334
blas_like_openmp,0,15000,16,1,32,120.298980,123.331032
blas_like_openmp,0,15000,16,1,64,118.791225,121.823788
blas_like_openmp,0,15000,16,2,1,15.321166,216.468394
blas_like_openmp,0,15000,16,2,2,16.657491,191.899242
blas_like_openmp,0,15000,16,2,4,17.507094,127.447451
blas_like_openmp,0,15000,16,2,8,34.399280,125.320702
blas_like_openmp,0,15000,16,2,16,65.719598,123.413936
blas_like_openmp,0,15000,16,2,32,120.183827,123.210099
blas_like_openmp,0,15000,16,2,64,123.341718,126.372519
blas_like_openmp,0,15000,16,3,1,15.576301,219.961384
blas_like_openmp,0,15000,16,3,2,16.827994,195.692823
blas_like_openmp,0,15000,16,3,4,17.191525,126.829810
blas_like_openmp,0,15000,16,3,8,33.713388,124.237398
blas_like_openmp,0,15000,16,3,16,67.572610,125.397720
blas_like_openmp,0,15000,16,3,32,132.268459,135.294778
blas_like_openmp,0,15000,16,3,64,123.852563,126.871760
blas_like_openmp,0,15000,16,1,1,17.454386,198.898030
blas_like_openmp,0,15000,16,1,2,20.877084,190.250833
blas_like_openmp,0,15000,16,1,4,17.952413,129.240030
blas_like_openmp,0,15000,16,1,8,35.081338,127.894152
blas_like_openmp,0,15000,16,1,16,67.119446,124.572796
blas_like_openmp,0,15000,16,1,32,120.936090,123.966442
blas_like_openmp,0,15000,16,1,64,119.682876,122.618820
blas_like_openmp,0,15000,16,2,1,16.738603,218.528204
blas_like_openmp,0,15000,16,2,2,16.515580,191.568676
blas_like_openmp,0,15000,16,2,4,17.614403,129.524586
blas_like_openmp,0,15000,16,2,8,33.290284,124.606831
blas_like_openmp,0,15000,16,2,16,65.541905,124.987030
blas_like_openmp,0,15000,16,2,32,121.981983,125.011086
blas_like_openmp,0,15000,16,2,64,118.913545,121.850384
blas_like_openmp,0,15000,16,3,1,15.446591,216.263780
blas_like_openmp,0,15000,16,3,2,16.942739,192.603525
blas_like_openmp,0,15000,16,3,4,17.162514,126.386855
blas_like_openmp,0,15000,16,3,8,34.301127,125.412806
blas_like_openmp,0,15000,16,3,16,64.714645,121.729324
blas_like_openmp,0,15000,16,3,32,120.657756,123.559425
blas_like_openmp,0,15000,16,3,64,123.650559,126.680726
