executable,returncode,n,cu_block_x,cu_block_y,real_time_seconds,cpu_time_seconds,gflops
cuda_1,0,15000,2,2,324.842583,323.215100,20.78
cuda_1,0,15000,2,4,186.230549,185.390459,36.25
cuda_1,0,15000,2,8,105.323557,104.856317,64.09
cuda_1,0,15000,2,16,91.937303,91.466536,73.42
cuda_1,0,15000,2,32,148.901816,148.327570,45.33
cuda_1,0,15000,2,64,171.146285,170.345459,39.44
cuda_1,0,15000,2,128,179.206526,178.369430,37.67
cuda_1,0,15000,2,256,170.659601,169.901597,39.55
cuda_1,0,15000,2,512,179.822009,179.042866,37.54
cuda_1,1,15000,2,1024,,,
cuda_1,0,15000,4,2,213.102795,212.329031,31.67
cuda_1,0,15000,4,4,125.001444,124.515071,54.00
cuda_1,0,15000,4,8,87.501985,87.171506,77.14
cuda_1,0,15000,4,16,94.754067,94.386430,71.24
cuda_1,0,15000,4,32,96.695584,96.333276,69.81
cuda_1,0,15000,4,64,97.658788,97.288758,69.12
cuda_1,0,15000,4,128,94.465561,94.134432,71.45
cuda_1,0,15000,4,256,48.672860,48.471860,138.68
cuda_1,1,15000,4,512,,,
cuda_1,1,15000,4,1024,,,
cuda_1,0,15000,8,2,149.237194,148.572853,45.23
cuda_1,0,15000,8,4,85.963337,85.613060,78.52
cuda_1,0,15000,8,8,89.467767,89.110951,75.45
cuda_1,0,15000,8,16,69.758343,69.488115,96.76
cuda_1,0,15000,8,32,45.779899,45.576062,147.44
cuda_1,0,15000,8,64,66.119363,65.826674,102.09
cuda_1,0,15000,8,128,59.633814,59.375211,113.19
cuda_1,1,15000,8,256,,,
cuda_1,1,15000,8,512,,,
cuda_1,1,15000,8,1024,,,
cuda_1,0,15000,16,2,99.430260,98.943111,67.89
cuda_1,0,15000,16,4,101.125772,100.755575,66.75
cuda_1,0,15000,16,8,96.292367,95.921756,70.10
cuda_1,0,15000,16,16,45.848197,45.698474,147.22
cuda_1,0,15000,16,32,62.525671,62.239965,107.96
cuda_1,0,15000,16,64,62.505200,62.241921,107.99
cuda_1,1,15000,16,128,,,
cuda_1,1,15000,16,256,,,
cuda_1,1,15000,16,512,,,
cuda_1,1,15000,16,1024,,,
cuda_1,0,15000,32,2,187.949248,187.306962,35.91
cuda_1,0,15000,32,4,221.331585,220.495069,30.50
cuda_1,0,15000,32,8,92.121014,91.775952,73.27
cuda_1,0,15000,32,16,85.546727,85.217443,78.90
cuda_1,0,15000,32,32,86.578038,86.259703,77.96
cuda_1,1,15000,32,64,,,
cuda_1,1,15000,32,128,,,
cuda_1,1,15000,32,256,,,
cuda_1,1,15000,32,512,,,
cuda_1,1,15000,32,1024,,,
cuda_1,0,15000,64,2,186.266851,185.459991,36.24
cuda_1,0,15000,64,4,84.010054,83.656335,80.35
cuda_1,0,15000,64,8,68.485009,68.205333,98.56
cuda_1,0,15000,64,16,114.270982,113.875208,59.07
cuda_1,1,15000,64,32,,,
cuda_1,1,15000,64,64,,,
cuda_1,1,15000,64,128,,,
cuda_1,1,15000,64,256,,,
cuda_1,1,15000,64,512,,,
cuda_1,1,15000,64,1024,,,
cuda_1,0,15000,128,2,99.464390,99.070515,67.86
cuda_1,0,15000,128,4,78.895905,78.569254,85.56
cuda_1,0,15000,128,8,147.443369,146.913585,45.78
cuda_1,1,15000,128,16,,,
cuda_1,1,15000,128,32,,,
cuda_1,1,15000,128,64,,,
cuda_1,1,15000,128,128,,,
cuda_1,1,15000,128,256,,,
cuda_1,1,15000,128,512,,,
cuda_1,1,15000,128,1024,,,
cuda_1,0,15000,256,2,122.633095,122.154997,55.04
cuda_1,0,15000,256,4,194.499668,193.681311,34.70
cuda_1,1,15000,256,8,,,
cuda_1,1,15000,256,16,,,
cuda_1,1,15000,256,32,,,
cuda_1,1,15000,256,64,,,
cuda_1,1,15000,256,128,,,
cuda_1,1,15000,256,256,,,
cuda_1,1,15000,256,512,,,
cuda_1,1,15000,256,1024,,,
cuda_1,0,15000,512,2,179.906721,179.253702,37.52
cuda_1,1,15000,512,4,,,
cuda_1,1,15000,512,8,,,
cuda_1,1,15000,512,16,,,
cuda_1,1,15000,512,32,,,
cuda_1,1,15000,512,64,,,
cuda_1,1,15000,512,128,,,
cuda_1,1,15000,512,256,,,
cuda_1,1,15000,512,512,,,
cuda_1,1,15000,512,1024,,,
cuda_1,1,15000,1024,2,,,
cuda_1,1,15000,1024,4,,,
cuda_1,1,15000,1024,8,,,
cuda_1,1,15000,1024,16,,,
cuda_1,1,15000,1024,32,,,
cuda_1,1,15000,1024,64,,,
cuda_1,1,15000,1024,128,,,
cuda_1,1,15000,1024,256,,,
cuda_1,1,15000,1024,512,,,
cuda_1,1,15000,1024,1024,,,
