executable,returncode,n,real_time_seconds,cpu_time_seconds,gflops,cu_block_x,cu_block_y
cuda_2_32,0,1000,0.307495,0.30656,6.5,,
cuda_2_32,0,2000,0.327945,0.326258,48.79,,
cuda_2_32,0,3000,0.477027,0.453634,113.2,,
cuda_2_32,0,4000,0.848679,0.806191,150.82,,
cuda_2_32,0,5000,1.410532,1.410286,177.24,,
cuda_2_32,0,6000,2.445594,2.3915,176.64,,
cuda_2_32,0,7000,3.646551,3.645971,188.12,,
cuda_2_32,0,8000,5.22191,5.160368,196.1,,
cuda_2_32,0,9000,7.38433,7.328278,197.45,,
cuda_2_32,0,10000,9.973472,9.908227,200.53,,
cuda_2_32,0,11000,13.414995,13.334934,198.43,,
cuda_2_32,0,12000,17.290548,17.215696,199.88,,
cuda_2_32,0,13000,22.287411,22.169378,197.15,,
cuda_2_32,0,14000,27.251222,27.158207,201.39,,
cuda_2_32,0,15000,33.581902,33.368683,201.0,,
cuda_2_32,0,16000,40.29961,40.112018,203.28,,
cuda_2_32,0,17000,48.641292,48.446327,202.01,,
cuda_2_32,0,18000,57.26891,57.000693,203.67,,
cuda_2_32,0,19000,67.202823,66.805063,204.13,,
cuda_2_32,0,20000,77.6106,77.1384,206.16,,
cublas,0,1000,0.402002,0.342073,4.98,,
cublas,0,2000,0.407786,0.377297,39.24,,
cublas,0,3000,0.509213,0.481542,106.05,,
cublas,0,4000,0.78207,0.780871,163.67,,
cublas,0,5000,1.326398,1.319929,188.48,,
cublas,0,6000,2.258032,2.256969,191.32,,
cublas,0,7000,3.402558,3.349044,201.61,,
cublas,0,8000,4.786207,4.775279,213.95,,
cublas,0,9000,6.636825,6.63472,219.68,,
cublas,0,10000,8.921215,8.908158,224.18,,
cublas,0,11000,11.538774,11.449777,230.7,,
cublas,0,12000,15.167955,15.085819,227.85,,
cublas,0,13000,19.532018,19.380186,224.96,,
cublas,0,14000,23.870971,23.750855,229.9,,
cublas,0,15000,29.30369,29.14624,230.35,,
cublas,0,16000,35.189663,35.003221,232.8,,
cublas,0,17000,42.198518,41.998092,232.85,,
cublas,0,18000,49.982281,49.713255,233.36,,
cublas,0,19000,58.353526,58.068368,235.08,,
cublas,0,20000,68.187847,67.771386,234.65,,
cuda_1,0,1000,0.330069,0.291764,6.06,16.0,16.0
cuda_1,0,2000,0.316494,0.316401,50.55,16.0,16.0
cuda_1,0,3000,0.528378,0.526171,102.2,16.0,16.0
cuda_1,0,4000,0.856941,0.856073,149.37,16.0,16.0
cuda_1,0,5000,1.599807,1.564059,156.27,16.0,16.0
cuda_1,0,6000,2.543809,2.543631,169.82,16.0,16.0
cuda_1,0,7000,3.972332,3.95033,172.69,16.0,16.0
cuda_1,0,8000,5.722504,5.713751,178.94,16.0,16.0
cuda_1,0,9000,8.184215,8.152004,178.15,16.0,16.0
cuda_1,0,10000,11.034426,10.989615,181.25,16.0,16.0
cuda_1,0,11000,15.163786,15.111543,175.55,16.0,16.0
cuda_1,0,12000,19.935123,19.786463,173.36,16.0,16.0
cuda_1,0,13000,26.68271,26.522124,164.68,16.0,16.0
cuda_1,0,14000,34.07629,33.84295,161.05,16.0,16.0
cuda_1,0,15000,42.411132,42.178426,159.16,16.0,16.0
cuda_1,0,16000,50.505262,50.226816,162.2,16.0,16.0
cuda_1,0,17000,79.62331,79.132152,123.41,16.0,16.0
cuda_1,0,18000,71.585223,71.191242,162.94,16.0,16.0
cuda_1,0,19000,117.423267,116.688683,116.83,16.0,16.0
cuda_1,0,20000,98.150733,97.554146,163.01,16.0,16.0
