executable,n,real_time_seconds,cpu_time_seconds
icc_maximum_aligned,5000,6.511024,6.510125
icx_maximum_aligned,5000,6.302303,6.301155
icc_maximum,5000,8.816484,8.815298
icx_maximum,5000,10.589900,10.588833
icc_0,5000,388.781731,388.739788
icx_0,5000,225.349495,225.329398
gcc_0,5000,249.178352,249.151278
icc_1,5000,65.701611,65.693091
icx_1,5000,71.537745,71.526781
gcc_1,5000,72.237225,72.226770
icc_2,5000,50.030959,50.023957
icx_2,5000,53.668448,53.660444
gcc_2,5000,69.309994,69.299882
icc_3,5000,18.258861,18.256734
icx_3,5000,53.331911,53.323827
gcc_3,5000,51.386808,51.379155
icc_blas_like,5000,4.556162,4.555594


